Name,Image URLs,Front,Back,Text,Cost,Defense,Level,Faction,Type,Role,Set Name,Set Qty,Artist
The Summoning,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-19-the-summoning.jpg,,,"Gain 4 Gold.
You may put the next champion you acquire this turn on top of your deck. <hr> Necros:
Draw a card.",7,,,Necros,Action,Market Deck,Year 1 Promos,1,Camille Alquier
Cleric,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-003-cleric-character-female.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-004-cleric-character-male.jpg,,,,,55 Health,,,Hero,Hero,Character Pack: Cleric,1,Dhennis I. Balontong | Jimmy Tayag
Bless,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-002-cleric-bless.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-001-cleric-rules-part-2.jpg,,,"Expend and pay 2 Gold:
Target player gains 3 Health. That player’s champions gain +1 Defense until the end of their next turn. <hr> <i>“Let your faith be your shield.”</i>
|
<u>Using Bless:</u>
◆ Ability cards, like <i>Bless</i>, may only be used during their owner’s turn.
◆ To use <i>Bless</i> and gain its effect, you must pay two gold and expend the card.
◆ Just like champion cards, <i>Bless</i> prepares at the end of its owner’s turn, allowing it to be used again on that player’s next turn.
◆ The ability on <i>Bless</i> gives +1 defense to all of the chosen player’s champions — both those with and without Guard. <hr> Hero Realms Character Packs can be used not only in head-to-head play, but also as part of exciting cooperative game formats. Adventure with your friends, take on dangerous missions, and battle against fearsome bosses!
Learn more about cooperative play at <u>www.HeroRealms.com/coop</u>",,,,,Cleric Ability | Part 2 of 2,Character Ability,Character Pack: Cleric,1,Dhennis I. Balontong
Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-011-cleric-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-010-cleric-rules-part-1.jpg,,,"Sacrifice:
Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.
|
<u>Setup:</u>
When playing with the Cleric Character Pack, you begin the game with 55 health. You may keep score with the two health-tracking cards. Put those cards, the <i>Cleric</i> character card, and the <i>Bless</i> and <i>Resurrect</i> ability cards into play in front of you. None of these cards ever go into your personal deck.
Shuffle the other cards (<i>Prayer Beads</i>, two <i>Followers</i>, <i>Spiked Mace</i>, and six <i>Gold</i>) to create your ten-card personal deck.
<u>Using Resurrect:</u>
◆ Ability cards, like <i>Resurrect</i>, may only be used during their owner’s turn.
◆ <i>Resurrect</i> is sacrificed when you use it. (Move it to the Sacrifice Pile to gain the effect listed.)",,,,,Cleric Ability | Part 1 of 2,Character Ability,Character Pack: Cleric,1,David Nash
Follower A,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-005-cleric-follower-a.jpg,,,"Expend:
Gain 1 Combat. <hr> True faith requires strength of will <u>and</u> strength of arms.",,Guard 1,,,Champion ◆ Human,Starting Deck,Character Pack: Cleric,1,David Nash
Follower B,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-006-cleric-follower-b.jpg,,,"Expend:
Gain 1 Combat. <hr> True faith requires strength of will <u>and</u> strength of arms.",,Guard 1,,,Champion ◆ Human,Starting Deck,Character Pack: Cleric,1,David Nash
Spiked Mace,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-008-cleric-spiked-mace.jpg,,,Gain 2 Combat. <hr> Sometimes the path to redemption is sharp and pointy.,,,,,Item ◆ Melee Weapon ◆ Mace,Starting Deck,Character Pack: Cleric,1,David Nash
Prayer Beads,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-009-cleric-prayer-beads.jpg,,,"Gain 2 Gold. <i>or</i> Gain 5 Health.
If you have two or more champions in play, gain both.",,,,,Item ◆ Holy Relic,Starting Deck,Character Pack: Cleric,1,David Nash
Gold,https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-007-cleric-gold.jpg,,,Gain 1 Gold.,,,,,Item ◆ Currency ◆ Coin,Starting Deck,Character Pack: Cleric,6,Antonis Papantoniou
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-012-cleric-score-ones-female.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-013-cleric-score-ones-male.jpg,,,,,,,,,Scorecard,Character Pack: Cleric,1,Dhennis I. Balontong | Jimmy Tayag
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-014-cleric-score-tens-female.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CCL-EN-015-cleric-score-tens-male.jpg,,,,,,,,,Scorecard,Character Pack: Cleric,1,Dhennis I. Balontong | Jimmy Tayag
Fighter,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-002-fighter-character-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-001-fighter-character-female.jpg,,,,,60 Health,,,Hero,Hero,Character Pack: Fighter,1,Dhennis I. Balontong
Crushing Blow,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-004-fighter-crushing-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-003-fighter-rules-part-1.jpg,,,"Sacrifice:
Gain 8 Combat. <hr> <i>“Time for a beatdown!”</i>
|
<u>Setup:</u>
When playing with the Fighter Character Pack, you begin the game with 60 health. You may keep score with the two health-tracking cards. Put those cards, the <i>Fighter</i> character card, and the <i>Shoulder Bash</i> and <i>Crushing Blow</i> ability cards into play in front of you. None of these cards ever go into your personal deck.
Shuffle the other cards (<i>Ruby</i>, <i>Shield Bearer</i>, <i>Throwing Axe</i>, <i>Longsword</i>, and six <i>Gold</i>) to create your ten-card personal deck.
<u>Using Crushing Blow:</u>
◆ <i>Crushing Blow</i> is sacrificed when you use it. (Move it to the Sacrifice Pile to gain the effect listed.)
◆ Ability cards, like <i>Crushing Blow</i>, may only be used during their owner’s turn.",,,,,Fighter Ability | Part 1 of 2,Character Ability,Character Pack: Fighter,1,Dhennis I. Balontong
Shoulder Bash,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-010-fighter-shoulder-bash.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-009-fighter-rules-part-2.jpg,,,"Expend and pay 2 Gold:
Gain 2 Combat. <hr> A true warrior needs no weapons.
|
<u>Using Shoulder Bash:</u>
◆ Ability cards, like <i>Shoulder Bash</i>, may only be used during their owner’s turn.
◆ To use <i>Shoulder Bash</i> and gain its effect, the Fighter must pay two gold and expend the card.
◆ Just like champion cards, <i>Shoulder Bash</i> prepares at the end of its owner’s turn, allowing it to be used again on that player’s next turn. <hr> Hero Realms Character Packs can be used not only in head-to-head play, but also as part of exciting cooperative game formats. Adventure with your friends, take on dangerous missions, and battle against fearsome bosses!
Learn more about cooperative play at
<u>www.HeroRealms.com/coop</u>",,,,,Fighter Ability | Part 2 of 2,Character Ability,Character Pack: Fighter,1,Dhennis I. Balontong
Longsword,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-006-fighter-longsword.jpg,,,Gain 3 Combat. <hr> <i>“I prefer to let my blade do the talking.”</i>,,,,,Item ◆ Melee Weapon ◆ Sword,Starting Deck,Character Pack: Fighter,1,Johnny Morrow
Shield Bearer,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-008-fighter-shield-bearer.jpg,,,"<i>“Your shield, my liege.”</i>",,Guard 3,,,Champion ◆ Human,Starting Deck,Character Pack: Fighter,1,Johnny Morrow
Throwing Axe,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-011-fighter-throwing-axe.jpg,,,"Gain 2 Combat.
If playing this card would give you 7 or more combat this turn, draw a card.",,,,,Item ◆ Ranged Weapon ◆ Axe,Starting Deck,Character Pack: Fighter,1,Johnny Morrow
Gold,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-005-fighter-gold.jpg,,,Gain 1 Gold.,,,,,Item ◆ Currency ◆ Coin,Starting Deck,Character Pack: Fighter,6,Antonis Papantoniou
Ruby,https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-007-fighter-ruby.jpg,,,Gain 2 Gold.,,,,,Item ◆ Currency ◆ Gem,Starting Deck,Character Pack: Fighter,1,Aspara
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-014-fighter-score-ones-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-015-fighter-score-ones-female.jpg,,,,,,,,,Scorecard,Character Pack: Fighter,1,Dhennis I. Balontong
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-012-fighter-score-tens-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CFT-EN-013-fighter-score-tens-female.jpg,,,,,,,,,Scorecard,Character Pack: Fighter,1,Dhennis I. Balontong
Ranger,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-003-ranger-character-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-002-ranger-character-female.jpg,,,,,58 Health,,,Hero,Hero,Character Pack: Ranger,1,Jimmy Tayag | Haroon Akram
Headshot,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-006-ranger-headshot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-005-ranger-rules-part-1.jpg,,,"Sacrifice:
Draw a card. You may stun target champion. <hr> <i>“Nice shot!”</i>
|
<u>Setup:</u>
When playing with the Ranger Character Pack, you begin the game with 58 health. You may keep score with the two health-tracking cards. Put those cards, the <i>Ranger</i> character card, and the <i>Headshot</i> and <i>Track</i> ability cards into play in front of you. None of these cards ever go into your personal deck.
Shuffle the other cards (<i>Ruby</i>, <i>Horn of Calling</i>, <i>Hunting Bow</i>, two <i>Black Arrow</i>, and five <i>Gold</i>) to create your ten-card personal deck.
<u>Using Headshot:</u>
◆ Ability cards, like <i>Headshot</i>, may only be used during their owner’s turn.
◆ <i>Headshot</i> is sacrificed when you use it. (Move it to the Sacrifice Pile to gain the effect listed.)
<u>Using Black Arrow:</u>
◆ If you have any card in play with “bow” as a subtype, you draw a card.",,,,,Ranger Ability | Part 1 of 2,Character Ability,Character Pack: Ranger,1,Antonis Papantoniou
Track,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-011-ranger-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-010-ranger-rules-part-2.jpg,,,"Expend and pay 2 Gold:
Look at the top three cards of your deck. You may put up to two of them into your discard pile, then put the rest back on top of your deck in any order.
|
Using Track:
◆ Ability cards, like <i>Track</i>, may only be used during their owner’s turn.
◆ To use <i>Track</i> and gain its effect, you must pay two gold and expend the card.
◆ Just like champion cards, <i>Track</i> prepares at the end of its owner’s turn, allowing it to be used again on that player’s next turn.
◆ If you use this ability and do not have at least three cards in your deck, set aside whatever cards are in your deck and shuffle your discard pile to make a new deck. Then, continue to set cards aside until you have three cards to examine. <hr> Hero Realms Character Packs can be used not only in head-to-head play, but also as part of exciting cooperative game formats. Adventure with your friends, take on dangerous missions, and battle against fearsome bosses!
Learn more about cooperative play at
<u>www.HeroRealms.com/coop</u>",,,,,Ranger Ability | Part 2 of 2,Character Ability,Character Pack: Ranger,1,Jimmy Tayag
Black Arrow,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-001-ranger-black-arrow.jpg,,,"Gain 1 Combat. <hr> If you have a bow in play, draw a card.",,,,,Item ◆ Arrow,Starting Deck,Character Pack: Ranger,2,Bramasta Aji
Horn of Calling,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-007-ranger-horn-of-calling.jpg,,,"Gain 1 Gold.
The next champion you acquire this turn costs 1 Gold less.",,,,,Item ◆ Instrument,Starting Deck,Character Pack: Ranger,1,Bramasta Aji
Hunting Bow,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-008-ranger-hunting-bow.jpg,,,Gain 2 Combat. <hr> <i>You’re the prey.</i>,,,,,Item ◆ Ranged Weapon ◆ Bow,Starting Deck,Character Pack: Ranger,1,Bramasta Aji
Gold,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-004-ranger-gold.jpg,,,Gain 1 Gold.,,,,,Item ◆ Currency ◆ Coin,Starting Deck,Character Pack: Ranger,5,Antonis Papantoniou
Ruby,https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-009-ranger-ruby.jpg,,,Gain 2 Gold.,,,,,Item ◆ Currency ◆ Gem,Starting Deck,Character Pack: Ranger,1,Aspara
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-014-ranger-score-ones-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-015-ranger-score-ones-female.jpg,,,,,,,,,Scorecard,Character Pack: Ranger,1,Jimmy Tayag | Haroon Akram
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-012-ranger-score-tens-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CRA-EN-013-ranger-score-tens-female.jpg,,,,,,,,,Scorecard,Character Pack: Ranger,1,Jimmy Tayag | Haroon Akram
Thief,https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-001-thief-character-female.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-002-thief-character-male.jpg,,,,,52 Health,,,Hero,Hero,Character Pack: Thief,1,Jimmy Tayag | Dhennis I. Balontong
Pick Pocket,https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-009-thief-pick-pocket.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-004-thief-rules-part-2.jpg,,,"Expend and pay 2 Gold:
Gain 3 Health.
Target opponent discards a card. <hr> <i>“A mark and his coin are soon parted.”</i>
|
<u>Using Pick Pocket:</u>
◆ Ability cards, like <i>Pick Pocket</i>, may only be used during their owner’s turn.
◆ To use <i>Pick Pocket</i> and gain its effect, you must pay two gold and expend the card.
◆ Just like champion cards, <i>Pick Pocket</i> prepares at the end of its owner’s turn, allowing it to be used again on that player’s next turn.
◆ When you use <i>Pick Pocket</i>, the target of the ability chooses which card to discard. <hr> Hero Realms Character Packs can be used not only in head-to-head play, but also as part of exciting cooperative game formats. Adventure with your friends, take on dangerous missions, and battle against fearsome bosses!
Learn more about cooperative play at
<u>www.HeroRealms.com/coop</u>",,,,,Theif Ability | Part 2 of 2,Character Ability,Character Pack: Thief,1,Jimmy Tayag
Heist,https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-012-thief-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-003-thief-rules-part-1.jpg,,,"Sacrifice:
This turn, you may acquire a card from an opponent’s discard pile by paying its cost. You may not use this ability on cards without a printed cost, or during your first or second turn.
|
<u>Setup:</u>
When playing with the Thief Character Pack, you begin the game with 52 health. You may keep score with the two health-tracking cards. Put those cards, the <i>Thief</i> character card, and the <i>Heist</i> and <i>Pick Pocket</i> ability cards into play in front of you. None of these cards ever go into your personal deck.
Shuffle the other cards (two <i>Ruby</i>, three <i>Throwing Knife</i>, and five <i>Gold</i>) to create your ten-card personal deck.
<u>Using Heist:</u>
◆ Ability cards, like <i>Heist</i>, may only be used during their owner’s turn.
◆ <i>Heist</i> is sacrificed when you use it. (Move it to the Sacrifice Pile to gain the effect listed.)
◆ When you acquire a card from an opponent’s discard pile with <i>Heist</i>, it is yours for the rest of the game. (Just like any other card you acquire.)",,,,,Theif Ability | Part 1 of 2,Character Ability,Character Pack: Thief,1,Jimmy Tayag
Throwing Knife,https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-011-thief-throwing-knife.jpg,,,"Gain 1 Combat.
+2 Combat for each knife you’ve already played this turn.",,,,,Item ◆ Ranged Weapon ◆ Knife,Starting Deck,Character Pack: Thief,3,Antonis Papantoniou
Gold,https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-013-thief-gold.jpg,,,Gain 1 Gold.,,,,,Item ◆ Currency ◆ Coin,Starting Deck,Character Pack: Thief,5,Antonis Papantoniou
Ruby,https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-010-thief-ruby.jpg,,,Gain 2 Gold.,,,,,Item ◆ Currency ◆ Gem,Starting Deck,Character Pack: Thief,2,Aspara
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-007-thief-score-ones-female.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-008-thief-score-ones-male.jpg,,,,,,,,,Scorecard,Character Pack: Thief,1,Jimmy Tayag | Dhennis I. Balontong
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-005-thief-score-tens-female.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CTH-EN-006-thief-score-tens-male.jpg,,,,,,,,,Scorecard,Character Pack: Thief,1,Jimmy Tayag | Dhennis I. Balontong
Wizard,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-002-wizard-character-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-001-wizard-character-female.jpg,,,,,50 Health,,,Hero,Hero,Character Pack: Wizard,1,Dhennis I. Balontong | Haroon Akram
Channel,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-009-wizard-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-003-wizard-rules-part-2.jpg,,,"Expend and pay 2 Gold:
Lose 1 Health.
Draw a card. <hr> <i>All power has a price.</i>
|
<u>Using Channel:</u>
◆ Ability cards, like <i>Channel</i>, may only be used during their owner’s turn.
◆ To use <i>Channel</i> and gain its effect, you must pay two gold and expend the card.
◆ Just like champion cards, <i>Channel</i> prepares at the end of its owner’s turn, allowing it to be used again on that player’s next turn.
◆ You lose one health when you use this ability. This loss of health is not prevented by having a guard in play. <hr> Hero Realms Character Packs can be used not only in head-to-head play, but also as part of exciting cooperative game formats. Adventure with your friends, take on dangerous missions, and battle against fearsome bosses!
Learn more about cooperative play at
<u>www.HeroRealms.com/coop</u>",,,,,Wizard Ability | Part 2 of 2,Character Ability,Character Pack: Wizard,1,Dhennis I. Balontong
Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-011-wizard-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-004-wizard-rules-part-1.jpg,,,"Sacrifice:
Deal four damage to target player and to each of their champions.
<i>(Guards do not protect against this.)</i> <hr> <i>KA-BOOM!</i>
|
<u>Setup:</u>
When playing with the Wizard Character Pack, you begin the game with 50 health. You may keep score with the two health-tracking cards. Put those cards, the <i>Wizard</i> character card, and the <i>Channel</i> and <i>Fireball</i> ability cards into play in front of you. None of these cards ever go into your personal deck.
Shuffle the other cards (<i>Cat Familiar</i>, <i>Fire Staff</i>, <i>Spell Components</i>, two <i>Ignite</i>, and <i>five Gold</i>) to create your ten-card personal deck.
<u>Using Fireball:</u>
◆ Ability cards, like <i>Fireball</i>, may only be used during their owner’s turn.
◆ <i>Fireball</i> is sacrificed when you use it. (Move it to the Sacrifice Pile to gain the effect listed.)
◆ This card does not add combat to your combat pool. It deals 4 damage to a player and to each of their champions, even if they have a guard in play.",,,,,Wizard Ability | Part 1 of 2,Character Ability,Character Pack: Wizard,1,Aspara
Cat Familiar,https://www.herorealms.com/wp-content/uploads/2017/11/CWZ-EN-010-wizard-cat-familiar.jpg,,,"Expend:
Gain 1 Combat. <i>or</i> Gain 1 Gold. <i>or</i> Gain 1 Health. <hr> <i>“Meow”</i>",,2,,,Champion ◆ Feline,Starting Deck,Character Pack: Wizard,1,Aspara
Ignite,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-013-wizard-ignite.jpg,,,Gain 2 Combat. <hr> <i>Every inferno starts with a spark.</i>,,,,,Action ◆ Spell,Starting Deck,Character Pack: Wizard,2,L. Sean
Spell Components,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-014-wizard-spell-components.jpg,,,"Gain 1 Gold.
The next action you acquire this turn costs 1 Gold less. <hr> <i>“What do you need <u>that[\u] for?”</i>",,,,,Item ◆ Magic Supplies,Starting Deck,Character Pack: Wizard,1,Aspara
Fire Staff,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-015-wizard-fire-staff.jpg,,,"Gain 1 Combat.
If you have two or more actions in play, draw a card.",,,,,Item ◆ Magic Weapon ◆ Staff,Starting Deck,Character Pack: Wizard,1,Apsara
Gold,https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-012-wizard-gold.jpg,,,Gain 1 Gold.,,,,,Item ◆ Currency ◆ Coin,Starting Deck,Character Pack: Wizard,5,Antonis Papantoniou
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-007-wizard-score-ones-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-008-wizard-score-ones-female.jpg,,,,,,,,,Scorecard,Character Pack: Wizard,1,Dhennis I. Balontong | Haroon Akram
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-005-wizard-score-tens-male.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/CWZ-EN-006-wizard-score-tens-female.jpg,,,,,,,,,Scorecard,Character Pack: Wizard,1,Dhennis I. Balontong | Haroon Akram
Flame Burst,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-001-flame-burst.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-002-flame-burst-back.jpg,,,"Sacrifice:
Deal 2 damage to target master or minion.
|
Sacrifice:
Deal 2 damage to target player or champion.",,,1,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Haroon Akram
Fire Blast,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-003-fire-blast.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-004-fire-blast-back.jpg,,,"Sacrifice:
Deal 4 damage to target master or minion.
|
Sacrifice:
Deal 4 damage to target player or champion.",,,2,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Haroon Akram
Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-005-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-006-fireball-back.jpg,,,"Sacrifice:
Deal 4 damage to each master and minion in target area.
|
Sacrifice:
Deal 4 damage to target player and to each of their champions.",,,3,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Aspara
Rolling Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-007-rolling-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-008-rolling-fireball-back.jpg,,,"Sacrifice:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a nearby area or the master’s area. Deal 4 damage to each master and minion in that area and to those in your area.
|
Sacrifice:
Deal 4 damage to target player and to each of their champions. That player reveals their hand and discards all champions with 4 Defense or less in their hand.",,,4,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Melvin Chan
Scorching Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-009-scorching-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-010-scorching-fireball-back.jpg,,,"Sacrifice:
Deal 5 damage to each master and minion in target area.
|
Sacrifice:
Deal 5 damage to target player and to each of their champions.",,,4,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Barreling Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-011-barreling-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-012-barreling-fireball-back.jpg,,,"Sacrifice:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a nearby area or the master’s area. Deal 6 damage to each master and minion in that area and to those in your area.
|
Sacrifice:
Deal 6 damage to target player and to each of their champions. That player reveals their hand and discards a champion of your choice.",,,5,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Melvin Chan
Explosive Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-013-explosive-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-014-explosive-fireball-back.jpg,,,"Sacrifice:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Deal 5 damage to each master and minion in target player’s area, in each area nearby to it, and in the master’s area.
|
Sacrifice:
Deal 5 damage to target player and to each of their champions. That player reveals their hand and discards all champions with or less, and can’t acquire champion cards from the market on their next turn.",,,5,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Searing Fireball,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-015-searing-fireball.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-016-searing-fireball-back.jpg,,,"Sacrifice:
Deal 7 damage to each master and minion in target area.
|
Sacrifice:
Deal 7 damage to target player and to each of their champions.",,,5,,Wizard Campaign Ability | Wizard Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Aspara
Channel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-017-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-018-channel-back.jpg,,,"Expend and pay 2 Gold:
Lose 1 Health.
Draw a card.",,,1,,Wizard Campaign Skill | Wizard Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Deep Channel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-019-deep-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-020-deep-channel-back.jpg,,,"Expend and pay 2 Gold:
Lose 1 Health.
Look at the top two cards of your deck. Draw one and put the other one back.",,,2,,Wizard Campaign Skill | Wizard Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Shen Fei
Calm Channel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-021-calm-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-022-calm-channel-back.jpg,,,"Expend and pay 2 Gold:
Draw a card.",,,2,,Wizard Campaign Skill | Wizard Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Soul Channel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-023-soul-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-024-soul-channel-back.jpg,,,"Expend and pay 2 Gold:
Lose 1 Health.
Look at the top three cards of your deck. Draw one and put the rest back in any order.",,,3,,Wizard Campaign Skill | Wizard Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Shen Fei
Pure Channel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-025-pure-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-026-pure-channel-back.jpg,,,"Expend and pay 2 Gold:
Look at the top two cards of your deck. Draw one and put the other one back.",,,3,,Wizard Campaign Skill | Wizard Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Serene Channel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-027-serene-channel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-028-serene-channel-back.jpg,,,"Expend and pay 2 Gold:
Gain 2 Health.
Draw a card.",,,3,,Wizard Campaign Skill | Wizard Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
